Name,Address
Rolfshus,"Rolfs Pl., 2000 Frederiksberg"
Møllehuset,"Bjarkesvej 7, 2000 Frederiksberg"
Bjarkeshus,"Bjarkesvej 6, 2000 Frederiksberg"
Storkereden,"J. M. Thieles Vej 7A, 1961 Frederiksberg"
Malthe Bruuns Gård,"Malthe Bruuns Vej 1, 2000 Frederiksberg"
Lindehuset,"C. T. Barfoeds Vej 1, 2000 Frederiksberg"
Svalegården,"Peter Bangs Vej 53, 1, 2000 Frederiksberg"
Den Sønderjyske By,"Henning Matzens Vej 19, sal st, 2000 Frederiksberg"
Tvillingegården,"Nandrupsvej 8, 2000 Frederiksberg"
Lauritz Sørensens Gård,"Wilkensvej 42, 2000 Frederiksberg"
Wilkenbo,"Wilkensvej 43, 2000 Frederiksberg"
Barfoeds Gård,"C. T. Barfoeds Vej 2, 2000 Frederiksberg"
Mønsterbo,"Malthe Bruuns Vej 2, 2000 Frederiksberg"
Lineagården,"Finsensvej 59, 2000 Frederiksberg"
Firkløveren,"Philip Schous Vej 28, 2000 Frederiksberg"
Trekanten,"P. G. Ramms Alle 65, 2000 Frederiksberg"
Roskildegården,"Roskildevej 82, 2000 Frederiksberg"
Sønderjyllandsgården,"Peter Bangs Vej 124, 2000 Frederiksberg"
Solbjerggård,"Peter Bangs Vej 206, 2000 Frederiksberg"